ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
60171,AFR-IX TELECOM SAU,"1,757",540,"1,143",36
29119,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,393,"2,529",215,113
12956,TELEFONICA GLOBAL SOLUTIONS SL,254,"39,783",202,"10,319"
49600,"NEAR IP, S.L.",220,195,167,11
8637,"SpainWISP, S.L.",213,443,178,33
42947,Telfy Telecom S.L.,185,74,122,19
29680,Gamma Operadora de Comunicaciones S.A.,180,23,70,3
203936,IBERWIX TELECOM S.L.,162,91,98,5
59908,BalaLink S.A.,142,189,90,5
15704,XTRA TELECOM S.A.,112,581,20,68
12479,Orange Espagne SA,110,"8,157",36,"1,424"
202766,Servicios Digitales Codinet S.L.,108,338,40,7
3352,TELEFONICA DE ESPANA S.A.U.,106,377,5,12
35699,Adamo Telecom Iberia S.A.,105,426,29,30
12357,VODAFONE ESPANA S.A.U.,99,"10,855",10,13
200845,"AVATEL TELECOM, SA",66,556,7,3
3262,"SAREnet, S.A.",64,154,16,11
15954,"Tecnocratica Centro de Datos, S.L.",60,23,35,18
13287,FALBOX S.L. trading as NIXVAL,57,90,22,7
44431,OmniAccess S.L.,56,5,0,0
43578,MBA DATACENTERS S.L.,53,34,7,6
34471,Free Technologies Excom S.L.,53,173,15,9
39020,Comvive Servidores S.L.,52,76,25,10
12430,VODAFONE ESPANA S.A.U.,50,647,39,16
59432,GINERNET S.L.,49,26,34,3
201746,Olivenet Network S.L.,49,106,6,1
8903,NEXTLEVEL CONNECTIVITY S.L.,46,143,8,9
214930,Alice Wyan Garcia Martin,45,1,35,6
43833,"OPEN CABLE TELECOMUNICACIONES, S.L.",44,152,26,12
15699,"Adam EcoTech, S.A",43,25,31,6
766,Entidad Publica Empresarial Red.es,42,134,32,16
56958,Raiola Networks S.L.,41,5,35,2
24592,ECONOCOM CLOUD SL,41,11,35,2
57910,"Soluciones Corporativas IP, SL",40,120,31,3
208591,Aitire S.L,40,11,33,5
199434,CONSORCIO DE TELECOMUNICACIONES AVANZADA S.A.,40,8,32,1
48846,"Inetum Espana, S.A.",39,26,29,1
