ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
39120,Convergenze S.p.A.,"5,634",87,"3,815",26
51185,MainStreaming SpA,"3,908",23,"3,345",16
41327,Fiber Telecom S.p.A.,"2,577",781,"1,657",84
12779,IT.Gate S.p.A.,"1,993",340,"1,515",31
49605,Digital Telecommunication Services S.r.l.,"1,434",11,550,4
1267,WIND TRE S.P.A.,"1,122",570,577,14
12637,SEEWEB s.r.l.,990,90,740,19
15605,Connesi s.p.a.,966,20,725,1
62275,NHM - S.R.L.,745,40,458,10
28716,Retelit Digital Services S.p.A.,703,429,400,37
6762,TELECOM ITALIA SPARKLE S.p.A.,668,"84,784",502,"12,582"
57111,ALTITUD RETI SRL,408,5,209,1
50877,Airbeam S.r.l.,406,49,247,10
49709,Videobyte S.r.l.,365,4,192,1
59919,Brainbox S.r.l.,343,9,13,1
8660,Italiaonline S.p.A.,326,15,0,0
12874,Fastweb SpA,296,875,184,54
5392,TELNET S.r.l.,249,4,16,1
20912,"Giuliano Claudio Peritore trading as ""Panservice s.a.s. di Cuseo Fabrizio & C.""",247,52,99,6
31638,Lepida S.c.p.A.,218,87,138,3
35574,IGT LOTTERY S.P.A.,207,4,161,9
3269,Telecom Italia S.p.A.,203,"1,183",16,40
212508,Lowhosting services of Davide Gennari,198,6,1,16
60822,Wispone S.R.L.,195,21,0,0
207594,Connectivia S.r.l,194,29,143,13
197440,Consiglio Nazionale delle Ricerche,192,1,166,1
5394,UNIDATA S.p.A.,190,29,81,4
50316,Net Global Srl,190,138,151,1
56911,Warian S.R.L.,188,125,156,20
12850,IRIDEOS S.P.A.,180,11,49,1
33986,Redder Telco s.r.l.,177,9,112,1
203462,NOVACONN SRL,176,16,114,10
31319,ESTRACOM SPA,173,10,145,2
34428,Giulio Lo Presti,170,80,102,6
49367,Seflow s.r.l.,158,68,8,10
29286,SKYLOGIC S.P.A.,156,238,131,14
202617,Kering Eyewear S.p.A.,152,4,123,1
21056,Vianova S.p.A,146,82,125,1
20811,Retelit Digital Services S.p.A.,140,73,55,8
201877,NETandWORK s.r.l.,138,13,0,0
199181,Orakom S.r.l.,138,9,0,0
43942,Grifonline S.r.l.,126,3,5,1
49653,CADF S.p.A,123,3,0,0
29419,Almaviva S.p.A.,105,4,0,0
3302,IRIDEOS S.P.A.,97,222,53,19
51333,Arcolink Telecomunicazioni S.r.l.,92,3,70,2
41364,CONSORZIO TOP IX - TORINO E PIEMONTE EXCHANGE POINT CC,91,32,50,1
31034,Aruba S.p.A.,89,153,36,41
34758,Axera SpA,85,18,60,1
2593,Universita di Padova,79,3,11,1
8612,Tiscali Italia S.P.A.,71,60,37,4
13113,ISI Line srl,70,10,42,2
21101,Sistemi Hardware&Software S.P.A.,69,8,0,0
49088,TELMEKOM SRL,68,11,50,2
137,Consortium GARR,63,124,43,9
35612,EOLO S.p.A.,59,55,31,1
20836,CDLAN SpA,58,46,45,10
51580,TIMENET SPA,54,29,0,0
49289,Omegacom S.R.L.S.,52,58,2,2
31263,MYNET S.R.L.,52,53,33,9
203201,STACK EMEA - ITALY S.P.A.,52,35,29,4
59699,Lenfiber S.r.l.,51,24,0,0
30722,Vodafone Italia S.p.A.,51,"4,612",19,4
44092,HAL Service SpA,50,41,37,6
21309,Acantho S.p.a,50,59,29,1
60798,Servereasy Srl,49,57,34,8
60501,Sirius Technology SRL,48,35,33,5
30848,UNIDATA S.p.A.,48,60,24,1
201333,Naquadria S.R.L.,48,24,27,3
9137,Uno Communications SpA,47,3,36,1
8968,BT Italia S.p.A.,47,121,40,3
64445,Michele Pietravalle trading as NetJoin,47,12,22,2
47408,Mandarin S.p.A.,47,12,17,1
41720,REVOLUTION PROVIDER SRL,47,13,60,10
39636,IREN ENERGIA S.P.A,47,17,1,1
8816,Metrolink S.R.L.,46,14,26,2
60475,XMATICA SRL,46,12,32,1
56786,NEXIM ITALIA SRL,46,25,19,1
51569,Fiberwide S.p.a.,46,26,0,0
41160,Amt Services srl,46,22,0,0
203223,Unica Telecomunicazioni s.r.l.,46,7,13,1
198471,OpNet spa,46,272,1,1
47927,WIFIWEB s.r.l.,45,6,3,1
47217,Planetel SPA,45,20,21,2
31115,INTRED S.P.A.,45,47,33,2
202870,Dimensione S.r.l.,45,63,34,13
198721,Progetto8 Srl,45,17,20,1
60772,Sky Italia srl,44,11,14,1
34606,B.B.Bell SPA,44,11,30,1
207054,FLYNET SRL,44,10,6,2
202098,ENEL S.p.A,44,5,0,0
196983,Elsynet S.r.l.,44,21,3,1
62166,Spadhausen SRL Unipersonale,43,15,18,2
44219,Iccom S.r.l.,43,8,1,1
43843,Opiquad SRL,43,19,0,0
29438,Momax Network S.r.l.,43,2,30,1
210218,Open Fiber S.P.A.,43,109,8,3
20924,LUTECH S.P.A.,43,7,19,1
202709,Netoip.com srl,43,19,28,2
201602,NEWTEC S.R.L.,43,47,0,0
196749,BBANDA S.R.L.,43,21,0,0
59829,ARYEL S.R.L.,42,12,30,3
49524,Wolnet SRL,42,4,0,0
44513,Optima Italia S.p.A.,42,7,0,0
29449,ip telecom srl,42,2,30,1
209902,RAI WAY S.P.A.,42,8,9,3
200799,SILTEL TELECOMUNICAZIONI SRL,42,13,0,0
199837,Connetical Srl,42,8,20,2
198090,LIBRA S.R.L.,42,9,11,1
9104,Clio S.R.L,41,4,0,0
8855,Opiquad SRL,41,16,0,0
8224,Intercom s.r.l.,41,3,32,1
60989,Sinergia Telecomunication S.R.L.,41,11,29,2
59862,Professional Link S.r.l.,41,41,22,1
48634,R.T.I. SPA,41,5,0,0
48544,Tecnotel Servizi Tecnologici srl,41,72,0,0
44747,Dev Italia srl,41,3,26,1
28999,Siportal S.r.l.,41,4,31,1
24749,TNET SERVIZI SRL,41,5,28,1
21454,Easynet S.P.A.,41,13,29,1
209591,Fly Network Srl,41,7,29,3
206476,IP Technology srl,41,9,0,0
206182,Global Com Basilicata s.r.l.,41,8,0,0
200760,Dinova Srl,41,12,30,1
200553,Interfibra S.R.L.,41,14,25,2
200480,PASUBIO TECNOLOGIA SRL,41,2,0,0
200043,CESENA NET S.R.L.,41,21,0,0
197075,Active Network S.p.A.,41,19,32,6
15691,UAN COMPANY S.R.L.,41,23,18,1
57507,Sokom S.r.l.,40,3,0,0
51001,CIELO SRL,40,4,0,0
42692,Overweb Srl,40,3,41,13
