"index","name","flag_url","cc","asn_count","url"
"1",,,"US","31,906","https://bgp.he.net/country/US"
"2",,,"BR","10,328","https://bgp.he.net/country/BR"
"3",,,"CN","6,846","https://bgp.he.net/country/CN"
"4",,,"RU","6,587","https://bgp.he.net/country/RU"
"5",,,"IN","5,993","https://bgp.he.net/country/IN"
"6",,,"GB","3,826","https://bgp.he.net/country/GB"
"7",,,"ID","3,541","https://bgp.he.net/country/ID"
"8",,,"DE","3,488","https://bgp.he.net/country/DE"
"9",,,"AU","3,120","https://bgp.he.net/country/AU"
"10",,,"PL","2,755","https://bgp.he.net/country/PL"
"11",,,"CA","2,474","https://bgp.he.net/country/CA"
"12",,,"UA","2,362","https://bgp.he.net/country/UA"
"13",,,"FR","2,245","https://bgp.he.net/country/FR"
"14",,,"BD","1,855","https://bgp.he.net/country/BD"
"15",,,"NL","1,756","https://bgp.he.net/country/NL"
"16",,,"IT","1,498","https://bgp.he.net/country/IT"
"17",,,"RO","1,389","https://bgp.he.net/country/RO"
"18",,,"HK","1,387","https://bgp.he.net/country/HK"
"19",,,"ES","1,362","https://bgp.he.net/country/ES"
"20",,,"AR","1,318","https://bgp.he.net/country/AR"
"21",,,"JP","1,313","https://bgp.he.net/country/JP"
"22",,,"CH","1,178","https://bgp.he.net/country/CH"
"23",,,"KR","1,175","https://bgp.he.net/country/KR"
"24",,,"TR","1,085","https://bgp.he.net/country/TR"
"25",,,"SE","1,007","https://bgp.he.net/country/SE"
"26",,,"ZA","913","https://bgp.he.net/country/ZA"
"27",,,"VN","885","https://bgp.he.net/country/VN"
"28",,,"BG","883","https://bgp.he.net/country/BG"
"29",,,"IR","857","https://bgp.he.net/country/IR"
"30",,,"AT","830","https://bgp.he.net/country/AT"
"31",,,"NZ","753","https://bgp.he.net/country/NZ"
"32",,,"MX","742","https://bgp.he.net/country/MX"
"33",,,"CZ","741","https://bgp.he.net/country/CZ"
"34",,,"SG","735","https://bgp.he.net/country/SG"
"35",,,"TH","650","https://bgp.he.net/country/TH"
"36",,,"PH","647","https://bgp.he.net/country/PH"
"37",,,"DK","515","https://bgp.he.net/country/DK"
"38",,,"CO","502","https://bgp.he.net/country/CO"
"39",,,"TW","492","https://bgp.he.net/country/TW"
"40",,,"BE","442","https://bgp.he.net/country/BE"
"41",,,"NO","430","https://bgp.he.net/country/NO"
"42",,,"CL","429","https://bgp.he.net/country/CL"
"43",,,"FI","422","https://bgp.he.net/country/FI"
"44",,,"IL","409","https://bgp.he.net/country/IL"
"45",,,"MY","404","https://bgp.he.net/country/MY"
"46",,,"PK","400","https://bgp.he.net/country/PK"
"47",,,"EU","372","https://bgp.he.net/country/EU"
"48",,,"HU","350","https://bgp.he.net/country/HU"
"49",,,"LV","349","https://bgp.he.net/country/LV"
"50",,,"IE","341","https://bgp.he.net/country/IE"
"51",,,"NG","330","https://bgp.he.net/country/NG"
"52",,,"SI","320","https://bgp.he.net/country/SI"
"53",,,"GR","285","https://bgp.he.net/country/GR"
"54",,,"EC","251","https://bgp.he.net/country/EC"
"55",,,"KE","249","https://bgp.he.net/country/KE"
"56",,,"SK","242","https://bgp.he.net/country/SK"
"57",,,"EE","236","https://bgp.he.net/country/EE"
"58",,,"LT","235","https://bgp.he.net/country/LT"
"59",,,"IQ","232","https://bgp.he.net/country/IQ"
"60",,,"VE","231","https://bgp.he.net/country/VE"
"61",,,"MD","228","https://bgp.he.net/country/MD"
"62",,,"RS","223","https://bgp.he.net/country/RS"
"63",,,"KZ","221","https://bgp.he.net/country/KZ"
"64",,,"PE","215","https://bgp.he.net/country/PE"
"65",,,"SA","206","https://bgp.he.net/country/SA"
"66",,,"NP","205","https://bgp.he.net/country/NP"
"67",,,"LB","191","https://bgp.he.net/country/LB"
"68",,,"HR","185","https://bgp.he.net/country/HR"
"69",,,"CY","181","https://bgp.he.net/country/CY"
"70",,,"PT","175","https://bgp.he.net/country/PT"
"71",,,"DO","175","https://bgp.he.net/country/DO"
"72",,,"PA","173","https://bgp.he.net/country/PA"
"73",,,"MM","168","https://bgp.he.net/country/MM"
"74",,,"GE","168","https://bgp.he.net/country/GE"
"75",,,"AE","160","https://bgp.he.net/country/AE"
"76",,,"KH","159","https://bgp.he.net/country/KH"
"77",,,"BY","146","https://bgp.he.net/country/BY"
"78",,,"LU","139","https://bgp.he.net/country/LU"
"79",,,"AM","139","https://bgp.he.net/country/AM"
"80",,,"GH","137","https://bgp.he.net/country/GH"
"81",,,"AL","129","https://bgp.he.net/country/AL"
"82",,,"TZ","125","https://bgp.he.net/country/TZ"
"83",,,"CR","123","https://bgp.he.net/country/CR"
"84",,,"HN","118","https://bgp.he.net/country/HN"
"85",,,"EG","116","https://bgp.he.net/country/EG"
"86",,,"PR","115","https://bgp.he.net/country/PR"
"87",,,"UZ","113","https://bgp.he.net/country/UZ"
"88",,,"PY","109","https://bgp.he.net/country/PY"
"89",,,"SC","108","https://bgp.he.net/country/SC"
"90",,,"IS","102","https://bgp.he.net/country/IS"
"91",,,"AZ","98","https://bgp.he.net/country/AZ"
"92",,,"GT","92","https://bgp.he.net/country/GT"
"93",,,"KW","86","https://bgp.he.net/country/KW"
"94",,,"AO","83","https://bgp.he.net/country/AO"
"95",,,"MN","77","https://bgp.he.net/country/MN"
"96",,,"AF","77","https://bgp.he.net/country/AF"
"97",,,"PS","73","https://bgp.he.net/country/PS"
"98",,,"UG","72","https://bgp.he.net/country/UG"
"99",,,"KG","67","https://bgp.he.net/country/KG"
"100",,,"BO","67","https://bgp.he.net/country/BO"
"101",,,"MK","66","https://bgp.he.net/country/MK"
"102",,,"MU","62","https://bgp.he.net/country/MU"
"103",,,"MT","61","https://bgp.he.net/country/MT"
"104",,,"BA","61","https://bgp.he.net/country/BA"
"105",,,"CD","60","https://bgp.he.net/country/CD"
"106",,,"JO","55","https://bgp.he.net/country/JO"
"107",,,"SV","54","https://bgp.he.net/country/SV"
"108",,,"BZ","48","https://bgp.he.net/country/BZ"
"109",,,"VG","47","https://bgp.he.net/country/VG"
"110",,,"UY","46","https://bgp.he.net/country/UY"
"111",,,"ZW","42","https://bgp.he.net/country/ZW"
