"organization_id","phone","name","email","address","city","country"
"82003","","","1@1-ix.net","","",""
"82001","","","1@1-ix.net","","",""
"70781","+1 602 935 9850","","noc@48ix.net","","",""
"70781","+1 602 935 9850","","ar@48ix.net","","",""
"85982","+1 877 321 1662","","ixp@accurix.net","","",""
"85982","+1 877 352 6105","","billing@accurix.net","","",""
"85982","+1 613 518 4025","","ixp@accurix.net","","",""
"85982","+1 613 518 4025","","billing@accurix.net","","",""
"83686","+243819919742","","admin@united.cd","","",""
"83686","+243819919742","","info@united.cd","","",""
"359","Australia:1300 653 132, international: +61 89200 6141","","support@ix.asn.au","","",""
"359","Australia:1300 653 132, International: +61 89200 6141","","accounts@ix.asn.au","","",""
"359","Australia:1300 793 320, International: +61 89200 4980","","noc@ix.asn.au","","",""
"359","Australia: 1300 653 132, International: +61 89200 6141","","support@ix.asn.au","","",""
"359","Australia: 1300 653 132, International: +61 89200 6141","","accounts@ix.asn.au","","",""
"359","Australia: 1300 793 320, International: +61 89200 4980","","noc@ix.asn.au","","",""
"82000","+2348179918846","","obinna.adumike@af-cix.net","","",""
"473","+555 1 555 1234","","support@ixp.ht","","",""
"473","support@ixp.ht","","support@ixp.ht","","",""
"473","+555 1 555 1234","","no-reply@ixp.ht","","",""
"473","noc@ixp.ht","","no-reply@ixp.ht","","",""
"558","+64 9888 9221","","support@ix.nz","","",""
"558","+64 9888 9221","","accounts@ix.nz","","",""
"558","+64 9888 9221","","noc@ix.nz","","",""
"9","","","noc@ams-ix.net","","",""
"91","","","noc@ams-ix.net","","",""
"92","","","noc@ams-ix.net","","",""
"78400","+913366573248","","noc@kol.ams-ix.net","","",""
"78400","+31203058999","","info@ams-ix.net","","",""
"587","","","noc@ams-ix.in","","",""
"510","","","noc@us.ams-ix.net","","",""
"511","","","noc@us.ams-ix.net","","",""
"10622","+355-684120049","","noc@anix.al","","",""
"10622","","","billing@anix.al","","",""
"10622","+355-684120049","","support@anix.al","","",""
"10622","+39 0644486380","","noc@anix.al","","",""
"10622","noc@anix.al","","noc@anix.al","","",""
"10622","+555 1 555 1234","","noc@anix.al","","",""
"75299","+593982450062/+593992305407","","noc@aprosva.ec","","",""
"75299","noc@aprosva.ec","","noc@aprosva.ec","","",""
"79597","+5491152637456","","noc@cabase.org.ar","","",""
