"ProviderID","OrganizationID"
"1153","82003"
"1152","82001"
"899","70781"
"900","70800"
"123","186"
"699","690"
"276","324"
"893","70364"
"1364","90817"
"1242","85982"
"1203","83686"
"323","359"
"1151","82000"
"488","473"
"1405","96410"
"586","558"
"920","71872"
"981","76925"
"443","447"
"737","720"
"2","9"
"1214","84043"
"61","91"
"356","92"
"1031","78715"
"1020","78400"
"1211","84014"
"1402","96237"
"619","587"
"1032","78716"
"532","510"
"533","511"
"412","93"
"202","257"
"531","509"
"1359","90812"
"746","10622"
"238","290"
"239","291"
"240","292"
"242","294"
"243","295"
"241","293"
"126","189"
"721","708"
"969","75299"
"908","71161"
"1038","79597"
"913","71441"
"372","394"
"940","72356"
"695","684"
"1328","90780"
"1329","90781"
"879","69301"
"564","130"
"1262","90314"
"287","332"
"932","72108"
"291","335"
"197","252"
"741","723"
"766","13978"
"587","122"
"892","70046"
"1144","81701"
"1344","90797"
"904","71017"
"845","36734"
"590","562"
"366","391"
"601","573"
"51","140"
"1301","90753"
"1298","90750"
"1296","90748"
"991","77692"
"1300","90752"
"1245","86174"
"1303","90755"
"1302","90754"
"1299","90751"
"802","16265"
"1244","86005"
"21","29"
"917","71788"
"109","172"
"905","71019"
"1350","90803"
"147","210"
"812","16786"
"545","527"
"1131","81318"
"855","55715"
"907","71159"
"556","537"
"1373","90889"
"1120","81307"
"1062","81191"
"1063","81192"
"1107","81293"
"1064","81193"
"1065","81194"
"1099","81285"
"1113","81299"
"1066","81195"
"1100","81286"
"1115","81301"
"1067","81196"
"1098","81284"
"1102","81288"
"1127","81314"
"1105","81291"
"1375","90891"
"1122","81309"
"1114","81300"
"1068","81197"
"1116","81302"
"1069","81198"
"1070","81199"
"1071","81200"
"1072","81201"
"1073","81202"
"1125","81312"
"1074","81203"
"1075","81204"
"1106","81292"
"1076","81205"
"1077","81206"
"1117","81303"
"1078","81207"
"1079","81208"
"1376","90892"
"1103","81289"
"1112","81298"
"1080","81209"
"1128","81315"
"1123","81310"
"1108","81294"
"1081","81210"
"1082","81211"
"1083","81220"
"1084","81221"
"1129","81316"
"1101","81287"
"1085","81222"
"1119","81306"
"1104","81290"
"1130","81317"
"1124","81311"
"1086","81223"
"1118","81305"
"1126","81313"
"1087","81224"
"1121","81308"
"1111","81297"
"1088","81225"
"1089","81226"
"1090","81227"
"1091","81228"
"1109","81295"
"1092","81229"
"1093","81230"
"1110","81296"
"1094","81231"
"1095","81232"
"1096","81233"
"1389","90920"
"748","10664"
"246","298"
"203","258"
"358","383"
"12","19"
"192","247"
"1315","90767"
"1316","90768"
"1313","90765"
"1314","90766"
"1312","90764"
"40","47"
"286","331"
"4","11"
"273","320"
"407","422"
"588","560"
"672","654"
"404","420"
"620","589"
"915","71527"
"279","327"
"206","262"
"1305","90757"
"1306","90758"
"984","77412"
"209","264"
"11","18"
"697","688"
"1178","82256"
"1270","90722"
"857","61237"
"921","71882"
"852","50596"
"127","190"
"149","212"
"582","555"
"585","556"
"1372","90888"
"1275","90727"
"947","72835"
"1390","90921"
"1294","90746"
"1183","83033"
"1234","85103"
"205","261"
