ProviderID,asn,name,ipv6,ip_addresses
1153,13335,031_Cloudflare,True,"149.112.3.13, 2001:504:14::1:3335:1"
1153,22822,Edgio Inc.,True,"149.112.3.15, 2001:504:14::2:2822:1"
1153,6939,Hurricane Electric,True,"149.112.3.12, 2001:504:14::6939:1"
1153,14525,Stellar Technologies,True,"149.112.3.11, 2001:504:14::1:4525:1"
1153,62887,Whitesky Communications,True,"149.112.3.14, 2001:504:14::6:2887:1"
1152,20940,"Akamai Technologies, Inc.",False,
1152,1111,Alpen-Adria-Universit,False,
1152,42473,Anexia Internetdienstleistungs GmbH,False,
1152,34695,E4A,False,
1152,6798,Net4You,False,
1152,50226,Netcompany GmbH,False,
1152,24953,NETPLANET GmbH,False,
1152,39912,Oja.at GmbH,False,
1152,41905,Phorus,False,
1152,34785,Stadtwerke Klagenfurt AG,False,
899,401038,Accuris,True,2001:504:132::e
899,52210,Accuris Technologies,True,"149.112.74.12, 2001:504:132::12"
899,57194,AccurIX Route Servers,True,"149.112.74.1, 149.112.74.2, 2001:504:132::1, 2001:504:132::2"
899,47326,Advanced Micro Defence Technologies Ltd.,True,"149.112.74.3, 2001:504:132::3"
899,212085,Alexander Bruegmann,True,"149.112.74.26, 2001:504:132::26"
899,1003,andrewnet,True,"149.112.74.4, 2001:504:132::4"
899,211562,andrewnet experimental,True,2001:504:132::d
899,112,AS112,True,"149.112.74.112, 2001:504:132::112"
899,26195,Cyberri Technologies Inc.,True,"149.112.74.69, 2001:504:132::69"
899,209933,David Andri Jakobsson,True,"149.112.74.10, 2001:504:132::10"
899,200351,Dynamic Quantum Networks,True,"149.112.74.8, 2001:504:132::8"
899,199518,Gregory Shapiro,True,"149.112.74.18, 2001:504:132::18"
899,26556,HYEHOST LLC,True,2001:504:132::f
899,47272,Hyehost LTD,True,"149.112.74.16, 2001:504:132::16"
899,34927,iFog GmbH,True,"149.112.74.11, 2001:504:132::11"
899,207941,JITEN PATHY,True,"149.112.74.25, 2001:504:132::25"
899,216320,Kiriel Slembrouck,True,2001:504:132::14
899,50224,MythicalKitten,True,"149.112.74.5, 149.112.74.6, 2001:504:132::5, 2001:504:132::6"
899,52025,ParadoxNetworks Limited,True,"149.112.74.7, 2001:504:132::7"
899,35952,"ParadoxNetworks, Inc (Anycast)",True,"149.112.74.14, 2001:504:132::1a"
899,40544,"ParadoxNetworks, LLC",True,"149.112.74.22, 2001:504:132::22"
899,61977,Path Global UK Limited,True,2001:504:132::b
899,57156,Pluxcon Ltd,True,"149.112.74.9, 2001:504:132::9"
899,54681,Rose Telecom,True,"149.112.74.15, 2001:504:132::15"
899,197532,SELFHOSTABLE,True,"149.112.74.17, 2001:504:132::17"
899,60900,Ssmidge LLC,True,"149.112.74.13, 2001:504:132::13"
899,19651,The Trusty Ledger Ltd,True,"149.112.74.19, 2001:504:132::19"
899,202427,Ursin Filli,True,2001:504:132::c
900,13335,031_Cloudflare,True,"2001:7fa:11:5:0:3417:0:1, 218.100.54.133"
900,7575,AARNet,True,"2001:7fa:11:5:0:1d97:0:1, 218.100.54.139"
900,16509,Amazon,True,"2001:7fa:11:5:0:407d:0:1, 2001:7fa:11:5:0:407d:0:2, 218.100.54.134, 218.100.54.135"
900,7606,AS7606 Route Servers,True,"2001:7fa:11:5:0:1db6:0:1, 2001:7fa:11:5:0:1db6:0:2, 218.100.54.129, 218.100.54.254"
900,9290,GoHosting Pty Ltd,True,"2001:7fa:11:5:0:244a:0:1, 2001:7fa:11:5:0:244a:0:2, 218.100.54.137, 218.100.54.140"
900,38826,Infinite Networks,True,"2001:7fa:11:5:0:97aa:0:1, 218.100.54.136"
900,10084,Internet Association of Australia,True,"2001:7fa:11:5:0:2764:0:1, 218.100.54.200"
900,6447,RouteViews,True,"2001:7fa:11:5:0:192f:0:1, 218.100.54.130"
123,13335,031_Cloudflare,True,"2001:7fa:11:6:0:3417:0:1, 43.243.21.2"
123,42,037_PCH AS42,True,"2001:7fa:11:6:0:2a:0:1, 43.243.21.78"
123,3856,038_PCH AS3856,True,"2001:7fa:11:6:0:f10:0:1, 43.243.21.98"
123,32934,039_Meta,True,"2001:7fa:11:6:0:80a6:0:1, 2001:7fa:11:6:0:80a6:0:2, 43.243.21.118, 43.243.21.119"
123,55561,2talk Ltd,True,"2001:7fa:11:6:0:d909:0:1, 43.243.21.8"
123,63956,5G Networks Operations Pty Ltd,True,"2001:7fa:11:6:0:f9d4:0:1, 43.243.21.75"
123,18119,ACSData,True,"2001:7fa:11:6:0:46c7:0:1, 43.243.21.46"
123,32787,Akamai International BV.,True,"2001:7fa:11:6:0:8013:0:1, 43.243.21.122"
123,20940,"Akamai Technologies, Inc.",True,"2001:7fa:11:6:0:51cc:0:1, 2001:7fa:11:6:0:51cc:0:2, 43.243.21.128, 43.243.21.53"
123,16509,Amazon,True,"2001:7fa:11:6:0:407d:0:2, 43.243.21.113"
123,45475,Amuri Net Ltd,True,"2001:7fa:11:6:0:b1a3:0:1, 43.243.21.108"
123,133187,Ashnet Limited,True,"2001:7fa:11:6:2:843:0:1, 43.243.21.85"
123,64095,Blue Reach Services Ltd,True,"2001:7fa:11:6:0:fa5f:0:1, 43.243.21.81"
123,152703,Broadband and Internet New Zealand Limited,True,"2001:7fa:11:6:2:547f:0:1, 43.243.21.18"
123,56028,BTG,True,"2001:7fa:11:6:0:dadc:0:1, 43.243.21.51"
123,9790,Callplus,True,"2001:7fa:11:6:0:263e:0:1, 2001:7fa:11:6:0:263e:0:2, 43.243.21.3, 43.243.21.79"
123,24226,Catalyst.NET,True,"2001:7fa:11:6:0:5ea2:0:1, 43.243.21.133"
123,13150,Cato Networks,True,"2001:7fa:11:6:0:335e:0:1, 43.243.21.117"
123,137267,CBROS Technologies Limited,True,"2001:7fa:11:6:2:1833:0:1, 43.243.21.105"
123,4049,Cello Communications,True,"2001:7fa:11:6:0:fd1:0:1, 2001:7fa:11:6:0:fd1:0:2, 43.243.21.114, 43.243.21.48"
123,132898,Chorus New Zealand Ltd,True,"2001:7fa:11:6:0:2072:0:1, 2001:7fa:11:6:0:2072:0:2, 43.243.21.104, 43.243.21.96"
123,9245,Compass Communications Ltd,True,"2001:7fa:11:6:0:241d:0:2, 43.243.21.90"
123,10022,Datacom Systems Ltd,True,"2001:7fa:11:6:0:2726:0:1, 43.243.21.126"
123,45177,Devoli,True,"2001:7fa:11:6:0:b079:0:1, 2001:7fa:11:6:0:b079:0:2, 43.243.21.12, 43.243.21.93"
123,56186,Digital Island,True,"2001:7fa:11:6:0:db7a:0:2, 43.243.21.5"
123,24183,DTS,True,"2001:7fa:11:6:0:5e77:0:1, 43.243.21.14"
123,138973,Earthlink Limited,True,"2001:7fa:11:6:2:1edd:0:1, 43.243.21.54"
123,141226,Engage Technology Ltd,True,"2001:7fa:11:6:2:27aa:0:1, 43.243.21.124"
123,18015,Fastcom Limited,True,"2001:7fa:11:6:0:465f:0:1, 43.243.21.37"
123,54113,"Fastly, Inc.",True,"2001:7fa:11:6:0:d361:0:1, 2001:7fa:11:6:0:d361:0:2, 43.243.21.63, 43.243.21.65"
123,135069,Feenix Communications Limited,True,"2001:7fa:11:6:2:f9d:0:1, 2001:7fa:11:6:2:f9d:0:2, 43.243.21.45, 43.243.21.60"
123,131455,Freightways Information Services Limited,True,"2001:7fa:11:6:2:17f:0:2, 43.243.21.100"
123,132857,Full Flavour Ltd,True,"2001:7fa:11:6:2:6f9:0:1, 43.243.21.16"
123,134673,Gisborne.net.nz Limited,True,43.243.21.66
123,132692,GlobiCom Ltd (VpsCity),True,"2001:7fa:11:6:2:654:0:1, 2001:7fa:11:6:2:654:0:2, 43.243.21.115, 43.243.21.72"
123,137409,GSL Networks,True,"2001:7fa:11:6:2:18c1:0:1, 43.243.21.82"
123,38437,Headquarters N.D.C,True,"2001:7fa:11:6:0:9625:0:1, 43.243.21.26"
123,133399,Hitech Solutions,True,"2001:7fa:11:6:2:917:0:1, 43.243.21.127"
123,133950,Hoopla Hosting Limited,True,"2001:7fa:11:6:2:b3e:0:1, 43.243.21.107"
123,136557,Host Universal,True,"2001:7fa:11:6:2:156d:0:1, 43.243.21.73"
123,6939,Hurricane Electric,True,"2001:7fa:11:6:0:1b1b:0:1, 43.243.21.17"
123,19551,Imperva Inc,True,"2001:7fa:11:6:0:4c5f:0:1, 43.243.21.97"
