organization_id,phone,name,email,address,city,country
11,+32 2 790 33 01,,servicedesk@bnix.net,,,
18,+34 932 056 464,,catnix@suport.csuc.cat,,,
18,+34 932 056 464,,caterina.parals@csuc.cat,,,
9,,,noc@ams-ix.net,,,
7,,,support@linx.net,,,
13,,,noc@netnod.se,,,
13,,,billing@netnod.se,,,
13,+46856286000,,info@netnod.se,,,
13,+46856286000,,billing@netnod.se,,,
13,+4686414580,,noc@netnod.se,,,
16,+49 69 1730 902 11,,support@de-cix.net,,,
16,+49 69 1730 902 0,,billing@de-cix.net,,,
21,+7(495)737-4232,,,,,
21,+7(495)737-4232,,support@ix.ru,,,
22,,,networking@top-ix.org,,,
23,+420 246 083 470,,nmc@nix.cz,,,
23,+420 246 083 460,,billing@nix.cz,,,
23,+420 602 149 744,,noc@nix.cz,,,
23,+420 246 083 470,,net@nix.cz,,,
28,+353 1 531 3339,,operations@inex.ie,,,
28,+353 1 4332052,,accounts@inex.ie,,,
26,44 20 3137 8330,,support@lonap.net,,,
26,44 20 3137 8330,,accounts@lonap.net,,,
26,+44 20 3137 8330,,support@lonap.net,,,
26,+44 20 3137 8330,,accounts@lonap.net,,,
25,,,noc@namex.it,,,
25,+39 06 44486386,,noc@namex.it,,,
25,+39 06 44486350,,noc@namex.it,,,
25,+39 06 44486380,,noc@namex.it,,,
29,+49 17 13 89 71 82,,noc@bcix.de,,,
29,+49 30 39 00 16 60,,noc@bcix.de,,,
29,+49 30 2332195 55,,noc@bcix.de,,,
29,+49 30 39 00 16 60,,billing@bcix.de,,,
40,+354 5782030,,rix@rix.is,,,
37,+385 1 6165 520,,cix@srce.hr,,,
414,"Australia:1300 653 132, international: +61 89200 6141",,support@ix.asn.au,,,
414,"Australia:1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
414,"Australia:1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
414,"Australia: 1300 653 132, International: +61 89200 6141",,support@ix.asn.au,,,
414,"Australia: 1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
414,"Australia: 1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
42,,,noc@swissix.ch,,,
42,,,accounting@swissix.ch,,,
42,,,info@swissix.ch,,,
42,+41 44 330 70 90,,noc@swissix.ch,,,
42,+41 44 330 70 90,,info@swissix.ch,,,
45,,,staff@vsix.it,,,
45,+39 049 827 8998,,staff@vsix.it,,,
45,staff@vsix.it,,staff@vsix.it,,,
45,+39 331 620 9590,,staff@vsix.it,,,
44,+40728777794,,tech@interlan.ro,,,
44,tech@interlan.ro,,tech@interlan.ro,,,
44,+40 21 539 75 30,,tech@interlan.ro,,,
44,+40 31 710 24 28,,tech@interlan.ro,,,
47,+359 88 48 15669,,noc@bix.bg,,,
47,+359 89 5491693,,finance@bix.bg,,,
51,+49 69 1730 902 11,,support@de-cix.net,,,
51,+49 69 1730 902 0,,billing@de-cix.net,,,
50,+358 44 975 6548,,staff-2017@trex.fi,,,
50,+358 29 123 8803,,billing@trex.fi,,,
50,+358 45 670 2048,,noc@trex.fi,,,
50,+358 44 975 6548,,staff-2018@trex.fi,,,
50,+358 44 975 6548,,staff-2020@trex.fi,,,
50,+358 44 975 6548,,staff-2022@trex.fi,,,
50,+358 50 346 0451,,billing@trex.fi,,,
50,+358 44 975 6548,,staff-2023@trex.fi,,,
56,+977 1 501 2546,,noc@npix.net.np,,,
56,noc@npix.net.np,,noc@npix.net.np,,,
