Organisation Name,Website,ASN,Peering Policy,IPv4 Address,IPv6 Address,MAC Address,Location,Switch Port and VLAN,Port Type,Service Speed,Service Type,Peering LAN,Membership Type,Route Servers,,
Saxo Bank A/S,http://www.saxobank.com/,20681,Open,195.66.224.171,2001:7f8:4::50c9:1,700f.6ae6.f0a7,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c11/1,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Layered Technologies,https://www.layeredtech.co.uk/,210893,Open,195.66.231.132,2001:7f8:4::3:37cd:1,78ba.f93f.fee3,Telehouse West (THW),core3-thw xe-5/0/22,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Ensono LTD,http://,19229,Open,195.66.236.235,2001:7f8:4:1::4b1d:1,5c5a.c73f.4a58,Digital Realty Cloud House West (TCM),edge1-tcm-lon2 xe4,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Alibaba Group,http://www.alibaba.com,45102,Open,195.66.227.152,2001:7f8:4::b02e:2,00c1.644a.5eef,Telehouse North (THN),core3-thn et-2/2/3 VLAN: 101,ConneXions,10000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
EuNetworks GmbH,http://www.eunetworks.com,13237,Open,195.66.244.103,2001:7f8:4:2::33b5:1,6822.8e2f.78b0,Equinix MA3 Joule House (TCJ),edge2-tcj-man1 xe15,10G,10000,Regular,LINX Manchester,full,rs2.man1,rs1.man1,
Net Provedores de internet LTDA,http://www.telfo.com.br,265038,Open,195.66.231.136,2001:7f8:4::4:b4e:1,5ce8.83e7.588e,Interxion LON2 (IN2),core3-in2 et-2/2/3 VLAN: 515,ConneXions,1000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Datanet co uk Ltd.,http://www.datanet.co.uk,20799,Open,195.66.236.41,2001:7f8:4:1::513f:1,80ac.ac07.6ff0,Telehouse North (THN),edge6-thn-lon2 xe3,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Actus Info sp z o.o.,https://www.actus-info.pl,197790,Open,195.66.231.112,2001:7f8:4::3:49e:1,3c08.cddc.9280,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 652,ConneXions,1000,ConneXions,LINX LON1,full,,,
Swedish Armed Forces,https://www.mil.se,9201,Selective,195.66.225.199,2001:7f8:4::23f1:1,7c69.f60e.ee83,Telehouse North (THN),core3-thn ae211 VLAN: 11,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Nominet UK,http://www.nominet.org.uk/,43519,Open,195.66.236.23,2001:7f8:4:1::a9ff:1,f04b.3ae8.c0a0,Equinix LD9 Powergate (TCA),edge1-tca-lon2 xe19,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
