date, Economy, IPv4 adoption, IPv6 adoption
20241009, AP,  ,  
20241009, TV,  0.0000,  0.0000
20241009, LR,  0.0654,  0.0000
20241009, MS,  0.0000,  
20241009, UA,  0.6123,  0.3301
20241009, VI,  0.0022,  0.0000
20241009, LI,  0.8627,  0.3810
20241009, IM,  0.2967,  0.2368
20241009, SN,  0.0000,  0.0000
20241009, WS,  0.8846,  0.7500
20241009, PE,  0.7214,  0.3729
20241009, VU,  0.9063,  0.6926
20241009, PL,  0.8581,  0.4628
20241009, AL,  0.9359,  0.6631
20241009, ET,  0.9958,  0.6667
20241009, CH,  0.5164,  0.4274
20241009, CA,  0.5039,  0.1636
20241009, BM,  0.1598,  0.2727
20241009, EE,  0.8964,  0.2387
20241009, KM,  0.8571,  1.0000
20241009, LT,  0.8790,  0.3924
20241009, ER,  0.0000,  
20241009, SY,  0.4686,  0.0068
20241009, LC,  0.2346,  0.8889
20241009, ZW,  0.3300,  0.1429
20241009, GB,  0.5076,  0.2838
20241009, JP,  0.6466,  0.8274
20241009, MD,  0.9666,  0.4340
20241009, PG,  0.4714,  0.5000
20241009, AW,  0.6430,  1.0000
20241009, TO,  0.9333,  0.5000
20241009, AF,  0.6343,  0.2332
20241009, NL,  0.7398,  0.4686
20241009, LA,  0.8997,  0.5000
20241009, CU,  0.7062,  0.5000
20241009, TL,  0.6087,  0.2857
20241009, CN,  0.0256,  0.0050
20241009, MU,  0.6419,  0.3811
20241009, NC,  0.9794,  0.7000
20241009, MP,  1.0000,  0.0000
20241009, SL,  0.0000,  0.0000
20241009, DE,  0.7850,  0.6496
20241009, SR,  1.0000,  1.0000
20241009, TD,  0.1386,  0.3333
20241009, HU,  0.8260,  0.3207
20241009, DK,  0.8328,  0.4186
20241009, BJ,  0.0070,  0.3000
20241009, GT,  0.9295,  0.5983
20241009, GE,  0.8716,  0.1860
20241009, BQ,  1.0000,  0.8462
20241009, CR,  0.9038,  0.6554
20241009, VA,  0.7619,  0.0588
20241009, BR,  0.3010,  0.3139
20241009, BO,  0.8659,  0.5337
20241009, TM,  0.9535,  1.0000
20241009, NE,  0.0682,  0.5000
20241009, CL,  0.7884,  0.4898
20241009, FR,  0.8360,  0.1995
20241009, GM,  0.8668,  0.1111
20241009, DJ,  0.0000,  0.0000
20241009, HR,  0.7937,  0.2603
20241009, BS,  0.2421,  0.0000
20241009, RS,  0.8501,  0.4272
20241009, BA,  0.8281,  0.1914
