id,job_name,action,execution_time
1,update_exchanges,start,2023-09-26 08:49:21
2,update_exchanges,end,2023-09-26 08:49:23
3,update_networks,start,2023-09-26 08:56:06
4,update_exchanges,end,2023-09-26 08:56:08
5,populate_all_ixp_connections,start,2023-09-26 08:58:14
6,populate_all_ixp_connections,end,2023-09-26 09:32:51
7,populate_net_networks,start,2023-09-26 19:44:29
8,populate_net_networks,Failed due to SQL error in logging!,2023-09-26 19:55:16
10,update_exchanges,start,2023-09-27 13:55:13
11,update_exchanges,end,2023-09-27 13:55:14
12,update_networks,start,2023-09-27 14:08:59
13,update_networks,end,2023-09-27 14:09:02
14,update_exchanges,start,2023-09-28 05:00:02
15,update_exchanges,end,2023-09-28 05:00:16
16,update_networks,start,2023-09-28 05:15:02
17,update_networks,end,2023-09-28 05:15:07
18,populate_all_ixp_connections,start,2023-09-28 05:30:02
19,populate_all_ixp_connections,end,2023-09-28 06:05:59
20,update_exchanges,start,2023-09-29 05:00:02
21,update_exchanges,end,2023-09-29 05:00:12
22,update_networks,start,2023-09-29 05:15:01
23,update_networks,end,2023-09-29 05:15:07
24,populate_all_ixp_connections,start,2023-09-29 05:30:02
25,populate_all_ixp_connections,end,2023-09-29 06:05:01
26,update_exchanges,start,2023-10-02 05:00:02
27,update_exchanges,end,2023-10-02 05:00:15
28,update_networks,start,2023-10-02 05:15:01
29,update_networks,end,2023-10-02 05:15:08
30,populate_all_ixp_connections,start,2023-10-02 05:30:02
31,populate_all_ixp_connections,end,2023-10-02 06:06:04
32,update_exchanges,start,2023-10-03 05:00:01
33,update_exchanges,end,2023-10-03 05:00:12
34,update_networks,start,2023-10-03 05:15:02
35,update_networks,end,2023-10-03 05:15:07
36,populate_all_ixp_connections,start,2023-10-03 05:30:02
37,populate_all_ixp_connections,end,2023-10-03 06:05:49
38,update_exchanges,start,2023-10-04 05:00:01
39,update_exchanges,end,2023-10-04 05:00:13
40,update_networks,start,2023-10-04 05:15:02
41,update_networks,end,2023-10-04 05:15:11
42,populate_all_ixp_connections,start,2023-10-04 05:30:01
43,populate_all_ixp_connections,end,2023-10-04 06:08:29
44,update_exchanges,start,2023-10-05 05:00:03
45,update_exchanges,end,2023-10-05 05:00:17
46,update_networks,start,2023-10-05 05:15:02
47,update_networks,end,2023-10-05 05:15:06
48,populate_all_ixp_connections,start,2023-10-05 05:30:02
49,populate_all_ixp_connections,end,2023-10-05 06:06:10
50,update_exchanges,start,2023-10-06 05:00:02
51,update_exchanges,end,2023-10-06 05:00:14
52,update_networks,start,2023-10-06 05:15:02
53,update_networks,end,2023-10-06 05:15:07
54,populate_all_ixp_connections,start,2023-10-06 05:30:01
55,populate_all_ixp_connections,end,2023-10-06 06:06:15
56,update_exchanges,start,2023-10-09 05:00:02
57,update_exchanges,end,2023-10-09 05:00:13
58,update_networks,start,2023-10-09 05:15:01
59,update_networks,end,2023-10-09 05:15:08
60,populate_all_ixp_connections,start,2023-10-09 05:30:02
61,populate_all_ixp_connections,end,2023-10-09 06:06:40
62,update_exchanges,start,2023-10-10 05:00:02
63,update_exchanges,end,2023-10-10 05:00:15
64,update_networks,start,2023-10-10 05:15:01
65,update_networks,end,2023-10-10 05:15:06
66,populate_all_ixp_connections,start,2023-10-10 05:30:02
67,populate_all_ixp_connections,end,2023-10-10 06:07:58
68,update_exchanges,start,2023-10-11 05:00:01
69,update_exchanges,end,2023-10-11 05:00:13
70,update_networks,start,2023-10-11 05:15:02
71,update_networks,end,2023-10-11 05:15:07
72,populate_all_ixp_connections,start,2023-10-11 05:30:02
73,populate_all_ixp_connections,end,2023-10-11 06:06:15
74,update_exchanges,start,2023-10-12 05:00:02
75,update_exchanges,end,2023-10-12 05:00:13
76,update_networks,start,2023-10-12 05:15:02
77,update_networks,end,2023-10-12 05:15:07
78,populate_all_ixp_connections,start,2023-10-12 05:30:02
79,populate_all_ixp_connections,end,2023-10-12 06:08:58
