date, Economy, IPv4 adoption, IPv6 adoption
20240927, MS,  0.0000,  
20240927, KP,  0.0000,  
20240927, PE,  0.7217,  0.3729
20240927, CG,  0.2061,  0.3750
20240927, MQ,  0.9810,  0.4211
20240927, CN,  0.0255,  0.0050
20240927, BJ,  0.0070,  0.3000
20240927, PK,  0.9765,  0.4909
20240927, RO,  0.8051,  0.2348
20240927, SN,  0.0000,  0.0000
20240927, SC,  0.5313,  0.2282
20240927, BL,  0.6667,  0.0002
20240927, VA,  0.7619,  0.0588
20240927, TV,  0.0000,  0.0000
20240927, BM,  0.1598,  0.2727
20240927, TD,  0.1386,  0.3333
20240927, MR,  0.0000,  0.0000
20240927, PL,  0.8565,  0.4634
20240927, AD,  0.9821,  1.0000
20240927, MW,  0.3851,  0.0736
20240927, LA,  0.9110,  0.5000
20240927, PT,  0.9733,  0.4316
20240927, ZM,  0.3908,  0.6250
20240927, SK,  0.7329,  0.3863
20240927, GE,  0.8716,  0.1860
20240927, JO,  0.5048,  0.1867
20240927, IM,  0.2967,  0.2368
20240927, SM,  0.8224,  0.1778
20240927, LR,  0.0523,  0.0000
20240927, WF,  0.0000,  0.0000
20240927, GR,  0.9262,  0.4364
20240927, NR,  0.9500,  1.0000
20240927, QA,  0.8325,  0.2632
20240927, GY,  0.9665,  0.5714
20240927, EC,  0.9875,  0.7490
20240927, MP,  1.0000,  0.0000
20240927, VU,  0.9063,  0.6926
20240927, DZ,  0.0589,  0.1667
20240927, GM,  0.8668,  0.1111
20240927, RW,  0.6904,  0.0152
20240927, ME,  0.8655,  0.0900
20240927, BT,  0.9704,  1.0000
20240927, KE,  0.6278,  0.3585
20240927, KG,  0.8730,  0.4479
20240927, SD,  0.0701,  0.0667
20240927, MZ,  0.4245,  0.5385
20240927, TL,  0.5870,  0.2857
20240927, TO,  0.9333,  0.5000
20240927, ET,  0.8160,  0.6667
20240927, GG,  0.0503,  0.2286
20240927, SR,  1.0000,  1.0000
20240927, TT,  0.4230,  0.2069
20240927, NC,  0.9794,  0.7000
20240927, BB,  0.0137,  0.0000
20240927, LC,  0.2346,  0.8889
20240927, BQ,  1.0000,  0.8462
20240927, TG,  0.9501,  0.5000
20240927, MF,  0.7609,  0.9396
20240927, AW,  0.6430,  1.0000
20240927, IO,  1.0000,  0.0000
20240927, VI,  0.0022,  0.0000
20240927, BZ,  0.7775,  0.2304
20240927, AP,  ,  
20240927, SY,  0.4686,  0.0068
20240927, ER,  0.0000,  
20240927, BN,  0.2817,  0.0000
20240927, MK,  0.2637,  0.0884
20240927, GA,  0.1873,  0.1429
20240927, GN,  0.0000,  0.0000
20240927, YT,  0.0000,  
20240927, MD,  0.9666,  0.4333
20240927, ZW,  0.3300,  0.1429
20240927, AG,  0.5248,  0.1667
20240927, PF,  0.1288,  0.2000
20240927, LS,  0.4153,  0.5000
20240927, EU,  0.0000,  
20240927, CK,  0.0000,  0.0000
20240927, KY,  0.4971,  0.2462
20240927, FM,  0.0000,  0.0000
20240927, KR,  0.0018,  0.0009
20240927, PY,  0.9804,  0.6824
20240927, CR,  0.9036,  0.6450
20240927, NI,  0.7919,  0.6316
20240927, VG,  0.2907,  0.1977
20240927, GF,  1.0000,  0.6771
20240927, SS,  0.3398,  0.3333
20240927, NU,  0.5000,  0.0000
20240927, MC,  0.7430,  0.0000
20240927, EE,  0.8933,  0.2272
20240927, KM,  0.8571,  1.0000
20240927, CD,  0.0984,  0.6667
20240927, CI,  0.8224,  0.8095
20240927, DO,  0.9906,  0.6159
20240927, CH,  0.5159,  0.4252
20240927, BW,  0.6114,  0.3571
20240927, CF,  0.0000,  
20240927, TJ,  0.2809,  0.0964
20240927, PA,  0.9590,  0.2693
20240927, SO,  0.0804,  0.1818
20240927, SX,  0.3881,  0.5000
20240927, PW,  0.7500,  0.5151
20240927, PM,  1.0000,  0.0000
20240927, MT,  0.0739,  0.0930
20240927, AS,  0.0000,  0.0000
20240927, CA,  0.5019,  0.1636
20240927, HN,  0.9244,  0.6495
20240927, NO,  0.5903,  0.4343
20240927, BE,  0.6736,  0.3723
20240927, PG,  0.4714,  0.5000
20240927, YE,  0.9605,  0.1667
20240927, AM,  0.9409,  0.2715
20240927, DK,  0.8314,  0.4140
20240927, MG,  0.8221,  0.4000
20240927, AL,  0.9360,  0.6631
20240927, AI,  0.3158,  0.9414
20240927, CU,  0.7062,  0.5000
20240927, SZ,  0.5991,  0.3333
20240927, SL,  0.0000,  0.0000
20240927, AF,  0.6328,  0.2332
20240927, LI,  0.8627,  0.3810
20240927, CW,  0.7685,  0.2703
20240927, MV,  1.0000,  0.7501
20240927, BY,  0.7527,  0.1379
20240927, JM,  0.0000,  0.0000
20240927, TZ,  0.3164,  0.3095
20240927, NA,  0.7556,  0.5312
20240927, PS,  0.8976,  0.2463
20240927, HU,  0.8262,  0.3207
20240927, UZ,  0.3327,  0.0769
20240927, LK,  0.9923,  0.5882
20240927, MN,  0.9325,  0.7500
20240927, FJ,  0.9892,  0.7000
20240927, GW,  0.0000,  0.0000
20240927, JP,  0.6468,  0.8273
20240927, MX,  0.2754,  0.2704
20240927, KI,  0.7500,  0.0000
20240927, BF,  0.8351,  0.3333
20240927, LY,  0.8854,  0.2500
20240927, KH,  0.9234,  0.4553
20240927, UY,  0.9629,  0.6932
20240927, MA,  0.1987,  0.9631
20240927, BI,  0.0556,  0.2000
20240927, CV,  0.8966,  0.0000
20240927, ZA,  0.3364,  0.1195
20240927, SV,  0.8887,  0.6250
20240927, TC,  0.4878,  0.0000
20240927, AO,  0.5935,  0.5646
20240927, NE,  0.0682,  0.5000
20240927, WS,  0.8846,  0.7500
20240927, TM,  0.9535,  1.0000
20240927, LU,  0.4411,  0.3713
20240927, EG,  0.2230,  0.0043
20240927, VC,  0.8750,  0.9961
20240927, FO,  0.9545,  0.0400
20240927, JE,  0.0887,  0.0192
20240927, GL,  0.8209,  0.1000
20240927, AX,  1.0000,  0.0000
20240927, IS,  0.5313,  0.3911
20240927, MU,  0.6379,  0.3811
20240927, BA,  0.8281,  0.1914
20240927, TK,  0.6667,  0.0000
20240927, GQ,  0.3429,  1.0000
20240927, NG,  0.3450,  0.2573
20240927, GU,  0.5053,  0.6250
20240927, FK,  0.9643,  
20240927, ST,  0.0000,  0.0000
20240927, ML,  0.1768,  0.4000
20240927, SB,  0.8571,  0.2500
20240927, KN,  0.6308,  0.5019
20240927, CZ,  0.8492,  0.4884
20240927, SI,  0.9232,  0.4767
20240927, MM,  0.8678,  0.5444
20240927, GH,  0.5505,  0.1818
20240927, DJ,  0.0000,  0.0000
20240927, DM,  0.1053,  0.0000
20240927, TN,  0.0000,  0.0000
20240927, NF,  0.0000,  0.0000
20240927, LV,  0.8789,  0.3677
20240927, HR,  0.7937,  0.2603
20240927, CL,  0.7883,  0.4879
20240927, BS,  0.2421,  0.0000
20240927, PR,  0.1836,  0.2408
20240927, UG,  0.1297,  0.1304
20240927, CM,  0.8169,  0.6000
20240927, CO,  0.9846,  0.6037
20240927, GD,  0.6905,  0.8340
20240927, GI,  0.8875,  0.0721
20240927, GT,  0.9294,  0.5499
20240927, VN,  0.9603,  0.0669
20240927, OM,  0.8934,  0.0833
20240927, BO,  0.8650,  0.5003
20240927, VE,  0.9416,  0.2644
20240927, LT,  0.8763,  0.3820
20240927, CY,  0.8075,  0.1977
20240927, BD,  0.9578,  0.6384
20240927, FI,  0.7435,  0.4036
20240927, IQ,  0.9022,  0.3368
20240927, NZ,  0.4679,  0.4256
20240927, LB,  0.9188,  0.3352
20240927, RS,  0.8492,  0.4272
20240927, MO,  0.9909,  0.6808
20240927, KZ,  0.1162,  0.1459
20240927, GP,  0.8713,  0.8331
20240927, KW,  0.7474,  0.0969
20240927, IE,  0.8474,  0.4141
20240927, NP,  0.9836,  0.7036
20240927, BH,  0.7575,  0.4167
20240927, IT,  0.3220,  0.2810
20240927, RE,  0.7854,  0.4138
20240927, SE,  0.7071,  0.7385
20240927, TH,  0.6846,  0.4521
20240927, AR,  0.8537,  0.9027
20240927, FR,  0.8348,  0.1997
20240927, AT,  0.7078,  0.4645
20240927, ES,  0.8112,  0.2287
20240927, UA,  0.6062,  0.3331
20240927, TW,  0.9857,  0.9364
20240927, AZ,  0.5810,  0.2781
20240927, BG,  0.8827,  0.2380
20240927, IL,  0.9114,  0.3676
20240927, PH,  0.9361,  0.5067
20240927, SG,  0.8547,  0.8447
20240927, SA,  0.9043,  0.1813
20240927, ID,  0.4628,  0.4534
20240927, HK,  0.6011,  0.6284
20240927, AU,  0.6163,  0.4954
20240927, NL,  0.7387,  0.4655
20240927, IR,  0.9572,  0.3517
20240927, TR,  0.9675,  0.3143
20240927, HT,  0.0116,  0.0000
20240927, BR,  0.3061,  0.3187
20240927, DE,  0.7856,  0.6482
20240927, MY,  0.9355,  0.4335
20240927, GB,  0.4849,  0.2815
20240927, AE,  0.9057,  0.8156
20240927, IN,  0.7340,  0.8569
20240927, RU,  0.5354,  0.2706
20240927, MH,  0.8889,  0.0588
20240927, US,  0.3602,  0.6307
